R,eta-h,eta-sd-h,slip-h,slip-sd-h,res-h,eta-ca,eta-sd-ca,slip-ca,slip-sd-ca,res-ca,eta-b,eta-sd-b,slip-b,slip-sd-b,res-b
0.375,1.4372139606868513,0.004889564349054011,0.0,0,0.3398022255610307,1.2406676586419056,0.026644840309007222,0.0,0,2.2390995914567546,1.26141432626383,0.043675315283893526,0.0,0,1.275461310242077
0.375,1.4371957440546779,nan,6.978111422029087e-08,nan,0.35193790363282745,1.2398550289742316,0.023435188367676177,1.2495199319673134e-08,1.976348029393102e-06,2.3252091636820205,1.2616015295302152,0.044354341915810704,3.774017209856595e-10,1.6299994791788317e-06,1.2982371697470032
0.5,2.4297664621528248,0.0754046571565702,0.0,0,0.20700154793310915,2.3092527040482143,0.062391757463644726,0.0,0,0.6233923075234208,2.3302754261909846,0.04475097823226602,0.0,0,0.40343318090012337
0.5,2.430040990730506,0.08772437876242327,2.0449567039726446e-08,1.2042275303568624e-05,0.21789658351139782,2.3092216452217746,0.06660408388488931,4.471160108820982e-09,6.566089702894885e-06,0.6600624712068445,2.330027476730744,0.04603418623201067,7.555844838691428e-10,1.3666232131767637e-06,0.4140496263374855
0.65,4.369600125622308,0.015959162726820075,0.0,0,0.5369638866003732,3.8295439692912336,0.024088312737529944,0.0,0,1.183225323533201,3.9444204932200226,0.12152050890316228,0.0,0,0.8985147178106746
0.65,4.36491124528706,0.01641503899521868,1.8845516924770322e-07,3.192753935875469e-06,0.5584367606745776,3.8268083462741047,nan,9.002917508715846e-07,nan,1.2370030826359755,3.932421920184042,0.0071886450787664105,1.2382442515779246e-07,3.4680963703183608e-06,0.9164077853491845
