R,eta-h,eta-sd-h,slip-h,slip-sd-h,res-h,eta-ca,eta-sd-ca,slip-ca,slip-sd-ca,res-ca,eta-b,eta-sd-b,slip-b,slip-sd-b,res-b
0.375,0.1621597882765441,0.0048305418335611,0.0,0,0.057562128176730634,0.3765536767274019,0.01749479277221127,0.0,0,2.0544990819744364,0.36678942678811277,0.012852351774885262,0.0,0,1.1430224392410158
0.375,0.3288529361078263,0.007693231743578889,0.04316797822728369,0.001607608693666034,0.022832996496375053,0.37657558890326126,0.020527561606437688,1.30279120824639e-11,1.662893359671871e-07,2.0881793675365743,0.35680415739862525,0.011814639449507126,0.04503454707206672,0.013065447233432862,1.0406702899428175
0.5,0.11099007360141577,0.019594366745706054,0.0,0,0.1528716948398152,0.49772657240897855,0.036939960210356414,0.0,0,3.9138631999238624,0.476287232004744,0.025907698991045454,0.0,0,2.2488983685458446
0.5,0.548101500779713,0.0072912243868399,0.12271243659977837,0.002707345963948119,0.002697311970654542,0.49772764559842475,0.03912541160147474,7.256029110891404e-11,3.0876166678185763e-06,4.000837458340478,0.46307005805587886,0.023799521907397602,0.07023151442961367,0.020717511494991587,2.0394745345390244
0.65,2.8493769078396527,0.06413475591344113,0.0,0,0.23390494975367931,1.051650872131844,0.0788180125191563,0.0,0,4.594891169888539,1.2482152459708211,0.07947411077504574,0.0,0,4.203349551804586
0.65,3.3336594808989464,0.11822051173536778,0.14869028720773753,0.05034284034050521,0.1968303216607129,1.0515796809073408,0.07956320819418733,6.4714900105400375e-12,1.0069272869583125e-06,4.6832544600428445,1.2482655741123643,0.07913252167099054,6.668868235415459e-10,2.513976241132619e-06,4.241912354424375
