R,eta-h,eta-sd-h,slip-h,slip-sd-h,res-h,eta-ca,eta-sd-ca,slip-ca,slip-sd-ca,res-ca,eta-b,eta-sd-b,slip-b,slip-sd-b,res-b
0.375,1.4638416223785615,0.06667956402426181,0.0,0,0.31261306217182233,1.249712145666021,0.05833996140854851,0.0,0,2.152592174474642,1.2734650010245996,0.0422270413924036,0.0,0,1.232490209650058
0.375,1.4637250790421392,0.06774378690757439,6.930520046743993e-10,2.9442793844544676e-06,0.3226973193928104,1.2495562227486308,0.05933072639152311,1.2374357094557809e-09,6.757751109092955e-06,2.2268191305615015,1.2732777197336738,0.04256092270049031,1.6670692604137116e-10,1.2712160419407502e-06,1.2523688779109254
0.5,2.520823997684074,0.07955449413519688,0.0,0,0.19618871931985618,2.3575117009310502,0.08067881966966746,0.0,0,1.04192424686278,2.385629078202432,0.05638626590619066,0.0,0,0.6029570574448166
0.5,2.5209257860042342,0.08126776549940641,1.9035995002525397e-10,2.255505409739683e-06,0.20471867057783952,2.3576384598092623,0.08258177838629946,1.4029444272978253e-10,3.8643438841408505e-06,1.0915394750957896,2.3854761817857826,0.056992448560810975,7.687092629105052e-10,3.826125747626799e-06,0.6160647553396746
0.65,4.588435585701124,0.16212943153222892,0.0,0,0.41415434002486473,3.963459200992046,0.1428717867885583,0.0,0,1.3704889783455538,4.098490073041432,0.10804249920603012,0.0,0,0.9513945302974741
0.65,4.588397072366278,0.1653387770538024,2.4761764860770086e-09,1.1278215201785062e-05,0.43072051763558294,3.963535834403473,0.1460860912434389,1.7566068044594374e-09,1.0600117234069092e-05,1.4327838967831055,4.098599810051339,0.10914274528904722,1.210120614825172e-09,4.382332534785363e-06,0.9708107310157748
