t,h_h0,v_h0,ca_h0,h_h1,v_h1,ca_h1,h_ca0,v_ca0,ca_ca0,h_ca1,v_ca1,ca_ca1,h_b0,v_b0,ca_b0,h_b1,v_b1,ca_b1
0,1E-06,0.457114124459992,2.56595663720863,1E-06,0.421152716126692,2.36321413568707,1E-06,0.41146429711399,2.31810748036327,1E-06,0.411459907172751,2.31808770901642,1E-06,0.4134260117299,2.32700056634348,1E-06,0.415443542473866,2.33626988459451
0.087313499820048,0.038576950139251,0.427128290622811,2.58379690370012,0.035743588681779,0.397561407066081,2.38522562613817,0.034797640224274,0.385993367348028,2.34418033065425,0.034797276376968,0.385989410690555,2.34416115003105,0.034957319432817,0.387678142211615,2.35289120439328,0.03525999156105,0.392465299873759,2.35891464906012
0.089461816548598,0.03949341836887,0.4264154828289,2.58422718259122,0.036596774531865,0.396998688249985,2.38575689284769,0.035626016968964,0.385386718354447,2.34480934135057,0.035625644712641,0.385382770947645,2.3447901759569,0.035789525480682,0.387069615004647,2.35351109701038,0.036102249035207,0.391916412180975,2.35946183285904
0.091662991824516,0.040430857239403,0.425686826834499,2.584667335317,0.03746970762742,0.396423189209708,2.3863005353588,0.036473756518964,0.384762571856604,2.34545689842472,0.036473375685352,0.384758633748762,2.34543774893071,0.036640851172498,0.386447518427074,2.35414520777252,0.036964012621765,0.391355110654378,2.36002170380702
0.093918326213028,0.041389705049407,0.424942032243327,2.58511755851991,0.038362812532858,0.395834662312703,2.38685680940788,0.03734050723997,0.384130209913677,2.34611339791957,0.037340117376005,0.384126284625652,2.34609426100957,0.037511700996962,0.385811590771669,2.35479383089908,0.03784574445647,0.390780680930067,2.36059499671555
0.096229152279291,0.042370466541773,0.424180109253837,2.58557847315906,0.03927652105275,0.395232859227476,2.38742597252274,0.038227104585407,0.383483907091781,2.34678480717152,0.038226705668286,0.383479992721377,2.34676568539351,0.038402492626842,0.385161498610179,2.355457335253,0.038747893430719,0.390192675156463,2.36118218242821
0.098596835375741,0.043373618583074,0.423400524904034,2.58605042591001,0.040211326865643,0.394616967506666,2.38800881741614,0.039133975738082,0.382823273245311,2.34747156167349,0.039133567570578,0.382819370041259,2.3474524553592,0.039313651180849,0.38449690563119,2.35613609431125,0.039670882437938,0.389591020806353,2.36178335836552
0.101022774448809,0.04439960757197,0.422603186142482,2.58653349846811,0.041167685536797,0.39398668444769,2.38860565652337,0.04006154398299,0.382148049658972,2.34817396205018,0.040061126364192,0.382144157874951,2.34815487153702,0.040245597244047,0.383817596770471,2.3568303593329,0.040615162779077,0.388975409656512,2.36239885853243
0.103508402865493,0.045448912285824,0.421787703163424,2.58702795339814,0.042146046207288,0.39334184844172,2.38921666998566,0.041010299239488,0.381457361807356,2.34889295178677,0.041009871988403,0.381453481471081,2.34887387768355,0.041198763201425,0.383123300096311,2.35754044121498,0.041581172649744,0.388345743699152,2.36302880803463
0.106055189260262,0.046521982804198,0.420954073286492,2.58753381972533,0.043146881111702,0.392682139200508,2.38984218959032,0.041980689214906,0.380750879506004,2.34962891061789,0.04198025211201,0.380747011017274,2.34960985315998,0.042173592763726,0.382413694155579,2.3582667032317,0.042569337563886,0.387702107001861,2.36367315062764
0.108664638402799,0.047619273581967,0.420102294569582,2.58805112676908,0.044170627865145,0.392007616378823,2.39048218809118,0.042973153109936,0.380028428151404,2.35038205802344,0.042972705944712,0.380024571781158,2.35036301758773,0.043170541817037,0.381688404332795,2.35900956501459,0.043580146216787,0.387044020164942,2.36433239523472
0.111338292087094,0.048741296752138,0.419231819489599,2.58858023636753,0.045217758753428,0.391318072222703,2.39113689286345,0.043988153204311,0.379289669014214,2.35115278635608,0.043987695762278,0.379285825043271,2.35113376332336,0.044190058449602,0.380947210404313,2.35976929000782,0.044614070933723,0.386371245084893,2.36500681087557
0.114077730042413,0.049888546389842,0.418342368257759,2.58912134933102,0.046288772707607,0.390613130524494,2.39180669276036,0.045026098722236,0.378534804073201,2.35194092536851,0.045025630766287,0.378530972941027,2.35192191994582,0.045232602975433,0.380189832113435,2.36054620497495,0.045671586311013,0.385683584838959,2.36569662671907
0.116884570866687,0.051061516019189,0.417433727490201,2.58967462743694,0.047384161960712,0.389892541854489,2.39249185792537,0.046087469292833,0.37776343570606,2.35274693202871,0.046086990609016,0.377759617614253,2.35272794468798,0.046298651847176,0.379415892334034,2.3613407381345,0.046753174527659,0.384980834916835,2.36640208095901
0.119760472982852,0.052260710360208,0.416505633298425,2.59024026457609,0.048504415138885,0.389156139835447,2.39319258103486,0.047172741934783,0.376975256362221,2.35357117153964,0.047172252295259,0.376971451609941,2.35355220266386,0.047388683988141,0.378625062589778,2.3621532700655,0.047859330342487,0.384262743859465,2.36712346044315
0.122707135618737,0.053486641156294,0.415557813588795,2.59081846112172,0.049650041414865,0.388403648963544,2.39390916012599,0.048282390905081,0.376170037206622,2.35441392893372,0.048281890076532,0.376166246107787,2.35439497890016,0.048503177267862,0.377817092398769,2.36298410340289,0.048990553854313,0.383529073047843,2.36786104076886
0.125726299811049,0.054739835717251,0.414589904705911,2.59140947492482,0.050821552199402,0.38763483162433,2.39464185888464,0.049416892256836,0.375347579811678,2.35527545942662,0.049416380004027,0.375343802666976,2.35525652863484,0.049642622318128,0.376991668607194,2.36383360741055,0.050147383522368,0.38277929538312,2.36861538956514
