# Example data, Glycerol, radius 0.25 mm, Rise [cm], Time [s], Contact angle (CA) [degrees]
rise,time,CA
0,0,
0.1363,2.1261,76.7149
0.2725,4.8276,67.5673
0.4088,8.1462,60.702
0.5451,12.1287,55.2637
0.6813,16.827,50.7907
0.8176,22.2997,47.0073
0.9539,28.6127,43.7371
1.0902,35.8407,40.8606
1.2264,44.0688,38.2935
1.3627,53.3948,35.9742
1.6352,75.809,31.9051
1.7715,89.1817,30.0914
1.9078,104.2306,28.3931
2.044,121.1721,26.7915
2.1803,140.2677,25.2711
2.3166,161.8369,23.8187
2.4528,186.276,22.4225
2.5891,214.0851,21.0721
2.7254,245.9073,19.7578
2.8617,282.5897,18.4702
2.9979,325.2794,17.1999
3.1342,375.5848,15.9371
3.2705,435.8614,14.6705
3.4067,509.7611,13.3869
3.543,603.4019,12.0691
3.8019,887.8843,9.3742
3.9518,1231.0013,7.5853
4.0472,1803.2017,6.2682
4.0745,2331.9,5.8495
4.084,2912.8292,5.6972
4.0868,3494.7446,5.6508
4.0877,4025.9239,5.6375
4.0879,4608.1089,5.6328
4.088,5474.554,5.6311
