# Example data, Glycerol, radius 1.0 mm, Rise [cm], Time [s], Contact angle (CA) [degrees]
rise,time,CA
0,0,
0.0341,0.5019,87.2745
0.0681,1.0292,84.6234
0.1022,1.5839,82.0381
0.1363,2.1678,79.5112
0.1703,2.7834,77.0357
0.2044,3.4333,74.6052
0.2385,4.1203,72.2138
0.2725,4.8478,69.856
0.3066,5.6195,67.5266
0.3407,6.4397,65.2202
0.3748,7.3151,62.9275
0.4088,8.2465,60.6564
0.4429,9.2456,58.3886
0.4769,10.3189,56.1231
0.511,11.4758,53.8541
0.5451,12.728,51.5754
0.5791,14.0895,49.28
0.6132,15.5779,46.9603
0.6473,17.2154,44.6073
0.6813,19.0302,42.2104
0.7154,21.0599,39.7566
0.7495,23.3553,37.23
0.7835,25.9873,34.6095
0.8176,29.0602,31.8672
0.8517,32.7355,28.9635
0.8858,37.2835,25.8387
0.9505,50.6363,18.874
0.988,66.2553,13.5562
1.0087,86.2501,9.513
1.0186,115.2965,6.8344
1.021,141.0097,6.017
1.0217,166.7466,5.7494
1.0219,190.2341,5.6706
1.022,215.9751,5.6427
1.022,254.2837,5.6328
